id,label,name
1,Director,斯皮尔伯格
2,Movie,侏罗纪公园
3,Actor,山姆·尼尔
4,Country,新西兰
5,Actor,劳拉·邓恩
6,Country,美国
7,Movie,头号玩家
8,Actor,泰伊·谢里丹
9,Movie,拯救大兵瑞恩
10,Actor,汤姆·汉克斯
11,Director,诺兰
12,Movie,盗梦空间
13,Actor,莱昂纳多
14,Actor,约瑟夫·高登-莱维特
15,Movie,黑暗骑士
16,Actor,克里斯蒂安·贝尔
17,Country,英国
18,Actor,希斯·莱杰
19,Country,澳大利亚
20,Movie,信条
21,Actor,约翰·大卫·华盛顿
22,Director,李安
23,Movie,卧虎藏龙
24,Actor,周润发
25,Country,中国
26,Actor,章子怡
27,Movie,少年派的奇幻漂流
28,Actor,苏拉·沙玛
29,Country,印度
30,Director,昆汀
31,Movie,低俗小说
32,Actor,乌玛·瑟曼
33,Actor,约翰·特拉沃尔塔
34,Movie,被解救的姜戈
35,Actor,杰米·福克斯
36,Movie,杀死比尔
37,Actor,刘玉玲
38,Director,张艺谋
39,Movie,英雄
40,Actor,李连杰
41,Movie,满城尽带黄金甲
42,Movie,十面埋伏
43,Actor,金城武
44,Director,马丁·斯科塞斯
45,Movie,华尔街之狼
46,Actor,乔纳·希尔
47,Movie,爱尔兰人
48,Actor,阿尔·帕西诺
49,Actor,罗伯特·德尼罗
50,Director,王家卫
51,Movie,花样年华
52,Actor,梁朝伟
53,Actor,张曼玉
54,Movie,一代宗师
55,Director,詹姆斯·卡梅隆
56,Movie,泰坦尼克号
57,Actor,凯特·温丝莱特
58,Movie,阿凡达
59,Actor,佐伊·索尔达娜
60,Movie,终结者2
61,Actor,阿诺·施瓦辛格
62,Director,弗朗西斯·科波拉
63,Movie,教父
64,Actor,马龙·白兰度
65,Movie,教父2
66,Director,彼得·杰克逊
67,Movie,指环王
68,Actor,伊恩·麦凯伦
69,Actor,伊利亚·伍德
70,Movie,霍比特人
71,Actor,马丁·弗瑞曼
